2017-07-18 00:59:07.167 [http-nio-50001-exec-3] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:127.0.0.1 params: {"ip":["localhost"]}
2017-07-18 01:03:49.549 [http-nio-50001-exec-5] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:127.0.0.1 params: {"ip":["localhost"]}
2017-07-18 01:03:59.348 [http-nio-50001-exec-6] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:127.0.0.1 params: {"ip":["localhost"]}
2017-07-18 01:05:59.100 [http-nio-50001-exec-8] INFO  com.doraemon.monitor.controller.ConfigController - User Id:null IP:0:0:0:0:0:0:0:1 params: {"ip":["localhost"]}
2017-07-18 09:27:15.402 [Thread-5] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Closing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@68e5eea7: startup date [Tue Jul 18 00:51:41 CST 2017]; root of context hierarchy
2017-07-18 09:27:15.600 [Thread-5] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 2147483647
2017-07-18 09:27:15.614 [Thread-5] INFO  o.s.context.support.DefaultLifecycleProcessor - Stopping beans in phase 0
2017-07-18 09:27:15.639 [Thread-5] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans on shutdown
2017-07-18 09:27:15.652 [Thread-5] INFO  o.s.b.actuate.endpoint.jmx.EndpointMBeanExporter - Unregistering JMX-exposed beans
2017-07-18 09:27:15.662 [Thread-5] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2017-07-18 09:27:15.662 [Thread-5] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2017-07-18 09:27:15.693 [Thread-5] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2017-07-18 09:27:21.369 [main] INFO  com.doraemon.monitor.Main - Starting Main on zbsdeMacBook-Pro.local with PID 19430 (/Users/zbs/code/github/doraemon/doraemon-monitor/target/classes started by zbs in /Users/zbs/code/github/doraemon/doraemon-monitor)
2017-07-18 09:27:21.372 [main] INFO  com.doraemon.monitor.Main - No active profile set, falling back to default profiles: default
2017-07-18 09:27:21.844 [main] INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@68e5eea7: startup date [Tue Jul 18 09:27:21 CST 2017]; root of context hierarchy
2017-07-18 09:27:23.654 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.4.Final
2017-07-18 09:27:27.423 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-07-18 09:27:27.844 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-07-18 09:27:28.603 [main] WARN  o.s.c.annotation.ConfigurationClassPostProcessor - Cannot enhance @Configuration bean definition 'myBatisConfig' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'.
2017-07-18 09:27:30.320 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dataSource' of type [com.alibaba.druid.pool.DruidDataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-07-18 09:27:30.344 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$977d3e7e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2017-07-18 09:27:30.570 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
